Task_ID,WCET,Priority,Task_Schedulable,Component_ID,Component_Schedulable
=========================================================================
Task_2,1.8519,0.0,True,Camera_Sensor,True
Task_3,1.8519,1.0,True,Camera_Sensor,True
Task_4,1.8519,2.0,True,Camera_Sensor,True
Task_0,1.8519,3.0,True,Camera_Sensor,True
Task_1,7.4074,4.0,True,Camera_Sensor,True
Task_5,1.8519,-1,True,Image_Processor,True
Task_6,1.8519,-1,True,Image_Processor,True
Task_7,1.8519,-1,True,Image_Processor,True
Task_10,1.8519,0.0,True,Bitmap_Processor,False
Task_8,1.8519,1.0,False,Bitmap_Processor,False
Task_9,1.8519,2.0,False,Bitmap_Processor,False
Task_11,1.8519,3.0,True,Bitmap_Processor,False
Task_13,1.4286,0.0,True,Lidar_Sensor,False
Task_12,2.8571,1.0,False,Lidar_Sensor,False
Task_14,1.4286,2.0,True,Lidar_Sensor,False
Task_15,8.5714,3.0,False,Lidar_Sensor,False
Task_16,1.4286,-1,True,Control_Unit,True
Task_17,1.4286,-1,True,Control_Unit,True
Task_18,1.4286,-1,True,Control_Unit,True
Task_19,8.5714,-1,True,Control_Unit,True
Task_20,52.8571,-1,True,Control_Unit,True
Task_21,2.8571,-1,True,Control_Unit,True
Task_22,8.1081,0.0,False,GPS_Sensor,False
Task_23,1.3514,1.0,True,GPS_Sensor,False
Task_27,1.3514,0.0,True,Communication_Unit,True
Task_24,1.3514,1.0,True,Communication_Unit,True
Task_25,10.8108,2.0,True,Communication_Unit,True
Task_26,32.4324,3.0,True,Communication_Unit,True
